transaction_id,owner_id,account_id,type,amount,occurred_at,card_id,merchant
tx-001,user-001,acc-001,deposit,300000,2026-08-28T10:00:00+09:00,,
tx-002,user-001,acc-001,withdrawal,52000,2026-08-30T11:00:00+09:00,card-001,마트
tx-003,user-001,acc-001,deposit,1000000,2026-09-01T12:00:00+09:00,,
tx-004,user-001,acc-002,deposit,200000,2026-09-02T13:00:00+09:00,,
tx-005,user-001,acc-003,deposit,150000,2026-09-03T14:00:00+09:00,,
tx-006,user-001,acc-001,withdrawal,6500,2026-09-04T15:00:00+09:00,card-001,편의점
tx-007,user-001,acc-001,withdrawal,72000,2026-09-05T16:00:00+09:00,card-001,마트
tx-008,user-001,acc-003,withdrawal,55000,2026-09-06T17:00:00+09:00,card-002,철도
tx-009,user-001,acc-001,withdrawal,15000,2026-09-07T18:00:00+09:00,card-001,식당
tx-010,user-001,acc-002,deposit,50000,2026-09-08T09:00:00+09:00,,
tx-011,user-001,acc-001,withdrawal,100000,2026-09-09T10:00:00+09:00,,
tx-012,user-001,acc-003,withdrawal,80000,2026-09-10T11:00:00+09:00,card-002,호텔
tx-013,user-001,acc-001,withdrawal,50000,2026-09-11T12:00:00+09:00,card-001,서점
tx-014,user-001,acc-001,withdrawal,12000,2026-09-12T13:00:00+09:00,card-001,식당
tx-015,user-001,acc-003,deposit,100000,2026-09-14T14:00:00+09:00,,
tx-016,user-001,acc-001,withdrawal,48000,2026-09-16T15:00:00+09:00,card-001,마트
tx-017,user-001,acc-003,withdrawal,25000,2026-09-18T16:00:00+09:00,card-002,식당
tx-018,user-001,acc-002,deposit,30000,2026-09-19T17:00:00+09:00,,
tx-019,user-001,acc-001,withdrawal,4500,2026-09-20T18:00:00+09:00,card-001,편의점
tx-020,user-001,acc-001,withdrawal,8200,2026-09-20T09:00:00+09:00,card-001,편의점
